'hood	noun. (slang) a neighborhood
balloonfish	noun. similar to but smaller than porcupinefish
ballooning	noun. flying in a balloon
balloonist	noun. someone who flies a balloon
ballot	noun. a document listing the alternatives that is used in voting | noun. a choice that is made by counting the number of people in favor of each alternative | verb. vote by ballot
ballot box	noun. a box where voters deposit their ballots
ballota	noun. perennial herbs or subshrubs of especially Mediterranean area: black horehound
ballota nigra	noun. ill-smelling European herb with rugose leaves and whorls of dark purple flowers
balloting	noun. a choice that is made by counting the number of people in favor of each alternative
ballottement	noun. a palpatory technique for feeling a floating object in the body (especially for determining the position of a fetus by feeling the rebound of the fetus after a quick digital tap on the wall of the uterus)
ballpark	noun. a facility in which ball games are played (especially baseball games) | noun. near to the scope or range of something
ballpen	noun. a pen that has a small metal ball as the point of transfer of ink to paper
ballplayer	noun. an athlete who plays baseball
ballpoint	noun. a pen that has a small metal ball as the point of transfer of ink to paper
ballpoint pen	noun. a pen that has a small metal ball as the point of transfer of ink to paper
ballroom	noun. large room used mainly for dancing
ballroom dance	noun. any of a variety of social dances performed by couples in a ballroom
ballroom dancing	noun. any of a variety of social dances performed by couples in a ballroom
ballroom music	noun. a genre of popular music composed for ballroom dancing
balls-up	noun. something badly botched or muddled
ballup	noun. something badly botched or muddled
bally	adjective. informal intensifiers
ballyhoo	noun. blatant or sensational promotion | verb. advertize noisily or blatantly
ballyhoo artist	noun. someone who uses exaggerated or lurid material in order to gain public attention
ballyrag	verb. be bossy towards
balm	noun. any of various aromatic resinous substances used for healing and soothing | noun. semisolid preparation (usually containing a medicine) applied externally as a remedy or for soothing an irritation
balm of gilead	noun. medium-sized fir of northeastern North America; leaves smell of balsam when crushed; much used for pulpwood and Christmas trees | noun. a fragrant oleoresin | noun. small evergreen tree of Africa and Asia; leaves have a strong aromatic odor when bruised
balmily	adverb. in a mildly insane manner
balminess	noun. the quality of weather that is deliciously mild and soothing
balmoral	noun. a sturdy laced walking shoe | noun. a brimless dark blue Scottish cap with a flat top and a plume on one side
balmoral castle	noun. a castle in northeastern Scotland that is a private residence of the British sovereign
balmy	adjective. informal or slang terms for mentally irregular | adjective. mild and pleasant
balochi	noun. an Iranian language spoken in Pakistan and Iran and Afghanistan and Russia and the Persian gulf
baloney	noun. pretentious or silly talk or writing
balsa	noun. strong lightweight wood of the balsa tree used especially for floats | noun. forest tree of lowland Central America having a strong very light wood; used for making floats and rafts and in crafts
balsa raft	noun. a light raft made of balsa
balsa wood	noun. strong lightweight wood of the balsa tree used especially for floats
balsam	noun. any seed plant yielding balsam | noun. any of various fragrant oleoresins used in medicines and perfumes | noun. an ointment containing a fragrant resin
balsam apple	noun. a tropical Old World flowering vine with red or orange warty fruit
balsam capivi	noun. an oleoresin used in varnishes and ointments
balsam family	noun. distinguished from the family Geraniaceae by the irregular flowers
balsam fir	noun. medium-sized fir of northeastern North America; leaves smell of balsam when crushed; much used for pulpwood and Christmas trees
balsam herb	noun. tansy-scented Eurasian perennial herb with buttonlike yellow flowers; used as potherb or salad green and sometimes for potpourri or tea or flavoring; sometimes placed in genus Chrysanthemum
balsam of peru	noun. dark brown syrupy balsam from the Peruvian balsam tree used especially in dressing wounds and treating certain skin diseases
balsam of tolu	noun. aromatic yellowish brown balsam from the tolu balsam tree used especially in cough syrups
balsam pear	noun. tropical Old World vine with yellow-orange fruit
balsam poplar	noun. poplar of northeastern North America with broad heart-shaped leaves
balsam willow	noun. small shrubby tree of eastern North America having leaves exuding an odor of balsam when crushed
balsam woolly aphid	noun. a variety of adelgid
balsam-scented	adjective. smelling of balsam resin
balsamic	adjective. of or relating to or containing balsam
balsaminaceae	noun. distinguished from the family Geraniaceae by the irregular flowers
balsamorhiza	noun. genus of coarse western American herbs with large roots containing an aromatic balsam
balsamroot	noun. a plant of the genus Balsamorhiza having downy leaves in a basal rosette and yellow flowers and long balsam-scented taproots
balsamy	adjective. of or relating to or containing balsam
balthasar	noun. (New Testament) one of the three sages from the east who came bearing gifts for the infant Jesus
balthazar	noun. (New Testament) one of the three sages from the east who came bearing gifts for the infant Jesus
baltic	noun. a sea in northern Europe; stronghold of the Russian navy | noun. a branch of the Indo-European family of languages related to the Slavonic languages; Baltic languages have preserved many archaic features that are believed to have existed in Proto-Indo European | adjective. of or pertaining to or characteristic of the Baltic States or their peoples or languages
baltic language	noun. a branch of the Indo-European family of languages related to the Slavonic languages; Baltic languages have preserved many archaic features that are believed to have existed in Proto-Indo European
baltic republic	noun. European countries bordering the Baltic Sea
baltic sea	noun. a sea in northern Europe; stronghold of the Russian navy
baltic state	noun. European countries bordering the Baltic Sea
baltic-finnic	noun. a group of Finnic languages including Finnish and Estonian
baltimore	noun. the largest city in Maryland; a major seaport and industrial center
